episode,score,avg_score,loss,epsilon
483,1,5.72,10.2202,0.0888
484,8,5.86,10.1154,0.0884
485,3,5.92,10.8853,0.0879
486,4,5.94,9.5036,0.0875
487,6,6.04,12.6509,0.0871
488,6,6.04,8.2504,0.0866
489,3,6.0,8.4941,0.0862
490,12,6.24,9.4119,0.0858
491,1,6.26,16.3652,0.0853
492,0,6.22,6.1338,0.0849
493,18,6.5,11.6453,0.0845
494,4,6.34,9.9131,0.0841
495,4,6.4,9.7193,0.0836
496,1,6.42,21.6823,0.0832
497,9,6.46,10.4389,0.0828
498,7,6.5,9.0691,0.0824
499,9,6.56,10.7366,0.082
500,1,6.42,6.6748,0.0816
501,3,6.4,10.561,0.0812
502,11,6.34,15.0035,0.0808
503,1,6.34,6.6423,0.0804
504,12,6.4,11.4503,0.08
505,2,6.36,12.3451,0.0796
506,7,6.02,9.7072,0.0792
507,10,6.16,12.6405,0.0788
508,3,6.18,18.7078,0.0784
509,15,6.26,9.2159,0.078
510,4,6.06,12.2607,0.0776
511,10,6.02,11.7309,0.0772
512,0,5.94,28.361,0.0768
513,15,6.12,10.2591,0.0764
514,5,6.08,12.1732,0.076
515,13,6.14,14.2558,0.0757
516,10,6.34,13.2054,0.0753
517,16,6.62,15.3895,0.0749
518,10,6.68,16.9227,0.0745
519,16,6.86,16.2615,0.0742
520,10,6.76,12.2716,0.0738
521,7,6.8,11.9521,0.0734
522,13,7.06,17.8652,0.0731
523,11,7.26,16.1782,0.0727
524,3,7.08,12.0134,0.0723
525,12,7.2,15.4541,0.072
526,3,7.02,6.2774,0.0716
527,8,7.06,15.0475,0.0712
528,11,7.24,11.6468,0.0709
529,2,7.12,19.979,0.0705
530,6,7.06,17.2095,0.0702
531,4,7.08,15.0133,0.0698
532,5,7.1,16.6961,0.0695
533,15,7.38,16.0263,0.0691
534,10,7.42,22.1646,0.0688
535,9,7.54,17.4935,0.0684
536,9,7.64,15.5135,0.0681
537,6,7.64,15.3022,0.0678
538,0,7.52,15.7414,0.0674
539,6,7.58,11.6036,0.0671
540,11,7.56,22.0527,0.0668
541,1,7.56,12.9821,0.0664
542,5,7.66,11.8406,0.0661
543,5,7.4,12.5081,0.0658
544,0,7.32,7.2934,0.0654
545,15,7.54,18.8794,0.0651
546,4,7.6,15.1897,0.0648
547,0,7.42,20.9228,0.0645
548,5,7.38,12.8038,0.0641
549,4,7.28,22.9096,0.0638
550,20,7.66,15.1537,0.0635
551,1,7.62,18.5018,0.0632
552,3,7.46,10.8628,0.0629
553,9,7.62,18.7269,0.0625
554,12,7.62,14.6679,0.0622
555,5,7.68,17.2978,0.0619
556,5,7.64,23.7341,0.0616
557,16,7.76,16.415,0.0613
558,7,7.84,14.4272,0.061
559,1,7.56,29.7298,0.0607
560,7,7.62,18.8349,0.0604
561,16,7.74,18.3009,0.0601
562,17,8.08,17.9112,0.0598
563,3,7.84,18.4229,0.0595
564,14,8.02,17.497,0.0592
565,3,7.82,16.419,0.0589
566,0,7.62,5.9506,0.0586
567,5,7.4,16.5251,0.0583
568,2,7.24,24.3283,0.058
569,5,7.02,28.4842,0.0577
570,5,6.92,16.1544,0.0574
571,1,6.8,13.9185,0.0571
572,6,6.66,10.9043,0.0569
573,0,6.44,7.2079,0.0566
574,6,6.5,19.0084,0.0563
575,7,6.4,30.4596,0.056
576,2,6.38,16.5213,0.0557
577,4,6.3,13.2861,0.0555
578,11,6.3,20.1198,0.0552
579,15,6.56,20.322,0.0549
580,6,6.56,23.5114,0.0546
581,0,6.48,5.6711,0.0544
582,9,6.56,36.7838,0.0541
583,11,6.48,19.6563,0.0538
584,8,6.44,22.0148,0.0535
585,5,6.36,23.4746,0.0533
586,11,6.4,15.3657,0.053
587,7,6.42,15.4098,0.0527
588,2,6.46,29.6234,0.0525
589,0,6.34,48.5012,0.0522
590,7,6.26,16.768,0.052
591,1,6.26,6.1604,0.0517
592,16,6.48,28.0447,0.0514
593,7,6.52,26.136,0.0512
594,5,6.62,22.2343,0.0509
595,1,6.34,33.9293,0.0507
596,13,6.52,18.0992,0.0504
597,11,6.74,22.0315,0.0502
598,7,6.78,31.9605,0.0499
599,5,6.8,20.1331,0.0497
600,5,6.5,25.8065,0.0494
601,10,6.68,26.8519,0.0492
602,6,6.74,37.4504,0.0489
603,4,6.64,25.8657,0.0487
604,13,6.66,27.338,0.0484
605,15,6.86,26.387,0.0482
606,6,6.88,31.5859,0.0479
607,11,6.78,16.499,0.0477
608,6,6.76,12.4515,0.0475
609,6,6.86,32.0392,0.0472
610,7,6.86,30.7072,0.047
611,3,6.6,35.7607,0.0468
612,5,6.36,32.2896,0.0465
613,12,6.54,32.8155,0.0463
614,18,6.62,24.7767,0.0461
615,21,6.98,27.082,0.0458
616,15,7.28,28.408,0.0456
617,7,7.32,27.8973,0.0454
618,9,7.46,35.4011,0.0452
619,3,7.42,24.3206,0.0449
620,3,7.38,20.7412,0.0447
621,6,7.48,19.8783,0.0445
622,23,7.82,28.0906,0.0443
623,13,8.08,33.6728,0.044
624,11,8.18,32.9048,0.0438
625,4,8.12,27.62,0.0436
626,2,8.12,20.4212,0.0434
627,19,8.42,29.8813,0.0432
628,8,8.36,22.0939,0.0429
629,1,8.08,21.7433,0.0427
630,1,7.98,21.435,0.0425
631,14,8.26,32.1445,0.0423
632,2,8.12,36.396,0.0421
633,7,8.04,20.0913,0.0419
634,16,8.2,31.7977,0.0417
635,11,8.32,25.1325,0.0415
636,6,8.22,25.7923,0.0413
637,6,8.2,49.7704,0.041
638,1,8.18,24.2249,0.0408
639,11,8.4,27.4778,0.0406
640,5,8.36,27.4966,0.0404
641,6,8.46,35.0595,0.0402
642,8,8.3,41.4901,0.04
643,1,8.18,64.5407,0.0398
644,1,8.1,25.5775,0.0396
645,22,8.52,28.2429,0.0394
646,3,8.32,38.139,0.0392
647,6,8.22,29.5442,0.039
648,0,8.08,5.1706,0.0388
649,10,8.18,36.608,0.0387
650,14,8.36,37.4305,0.0385
651,9,8.34,33.8144,0.0383
652,13,8.48,30.5616,0.0381
653,8,8.56,28.4309,0.0379
654,5,8.4,35.7273,0.0377
655,20,8.5,27.0657,0.0375
656,12,8.62,42.3016,0.0373
657,13,8.66,36.3029,0.0371
658,21,8.96,42.2664,0.0369
659,14,9.12,34.1049,0.0368
660,7,9.12,38.0912,0.0366
661,14,9.34,37.2864,0.0364
662,6,9.36,25.7293,0.0362
663,8,9.28,39.1294,0.036
664,10,9.12,31.4233,0.0359
665,12,8.94,36.0173,0.0357
666,9,8.82,32.9414,0.0355
667,11,8.9,39.3256,0.0353
668,7,8.86,30.8853,0.0351
669,7,8.94,40.7699,0.035
670,9,9.06,38.0333,0.0348
671,3,9.0,42.072,0.0346
672,11,8.76,46.6327,0.0344
673,18,8.86,36.5397,0.0343
674,1,8.66,35.0682,0.0341
675,10,8.78,30.9817,0.0339
676,1,8.76,35.5504,0.0338
677,11,8.6,35.4686,0.0336
678,14,8.72,32.8534,0.0334
679,14,8.98,42.2334,0.0333
680,11,9.18,34.2063,0.0331
681,12,9.14,35.4889,0.0329
682,14,9.38,47.6361,0.0328
683,6,9.36,47.1544,0.0326
684,12,9.28,35.755,0.0324
685,8,9.22,35.493,0.0323
686,13,9.36,44.5123,0.0321
687,15,9.54,41.9533,0.0319
688,1,9.54,72.5564,0.0318
689,2,9.36,28.3203,0.0316
690,9,9.44,28.3276,0.0315
691,13,9.58,39.2702,0.0313
692,6,9.54,45.2844,0.0312
693,0,9.52,37.1248,0.031
694,6,9.62,53.5803,0.0308
695,0,9.18,23.3081,0.0307
696,17,9.46,40.3636,0.0305
697,8,9.5,54.5655,0.0304
698,1,9.52,43.1808,0.0302
699,9,9.5,53.7383,0.0301
700,1,9.24,7.2716,0.0299
701,13,9.32,41.3488,0.0298
702,4,9.14,54.2104,0.0296
703,6,9.1,39.4019,0.0295
704,10,9.2,34.6377,0.0293
705,3,8.86,22.8289,0.0292
706,20,9.02,43.0537,0.029
707,10,8.96,28.8832,0.0289
708,12,8.78,46.9593,0.0288
709,24,8.98,37.576,0.0286
710,5,8.94,28.4764,0.0285
711,20,9.06,42.2603,0.0283
712,12,9.18,49.9114,0.0282
713,3,9.08,24.9985,0.028
714,4,8.96,61.8228,0.0279
715,5,8.82,43.1174,0.0278
716,17,8.98,37.9764,0.0276
717,5,8.86,53.4434,0.0275
718,17,9.06,43.5894,0.0274
719,17,9.26,42.9919,0.0272
720,20,9.48,45.5214,0.0271
721,19,9.8,41.8259,0.0269
722,3,9.64,70.5799,0.0268
723,1,9.3,44.4852,0.0267
724,12,9.52,46.4357,0.0265
725,9,9.5,60.6673,0.0264
726,0,9.48,18.5082,0.0263
727,9,9.44,55.0797,0.0261
728,8,9.32,49.1906,0.026
729,10,9.24,46.2127,0.0259
730,7,9.16,43.4755,0.0258
731,3,8.98,48.0435,0.0256
732,14,8.98,50.4021,0.0255
733,26,9.38,52.4964,0.0254
734,25,9.64,45.3863,0.0252
735,9,9.66,40.2652,0.0251
736,12,9.64,51.4608,0.025
737,2,9.38,34.4729,0.0249
738,20,9.76,39.4332,0.0247
739,21,10.14,52.2605,0.0246
740,1,9.98,20.2634,0.0245
741,17,10.06,45.1515,0.0244
742,24,10.42,47.1404,0.0243
743,6,10.54,44.0398,0.0241
744,4,10.5,28.7434,0.024
745,14,10.78,45.494,0.0239
746,6,10.56,52.0042,0.0238
747,15,10.7,37.1409,0.0237
748,12,10.92,45.1181,0.0235
749,18,11.1,51.6782,0.0234
750,27,11.62,42.5284,0.0233
751,9,11.54,42.7984,0.0232
752,3,11.52,52.5497,0.0231
753,16,11.72,53.591,0.0229
754,7,11.66,61.4996,0.0228
755,9,11.78,55.8955,0.0227
756,1,11.4,43.4087,0.0226
757,1,11.22,35.335,0.0225
758,3,11.04,38.2093,0.0224
759,9,10.74,46.8416,0.0223
760,9,10.82,51.5731,0.0222
761,3,10.48,61.8854,0.022
762,13,10.5,50.1537,0.0219
763,27,10.98,53.0092,0.0218
764,6,11.02,58.8157,0.0217
765,7,11.06,44.3062,0.0216
766,9,10.9,40.5591,0.0215
767,19,11.18,46.3259,0.0214
768,15,11.14,45.4102,0.0213
769,13,11.06,48.071,0.0212
770,16,10.98,45.2563,0.0211
771,5,10.7,44.4073,0.021
772,17,10.98,44.1427,0.0209
773,7,11.1,54.9778,0.0208
774,10,11.06,53.7959,0.0207
775,7,11.02,53.8857,0.0206
776,5,11.12,50.6506,0.0205
777,10,11.14,50.7809,0.0203
778,9,11.16,51.7483,0.0202
779,8,11.12,39.2479,0.0201
780,7,11.12,50.9284,0.02
