episode,score,avg_score,loss,epsilon
567,14,13.58,25.0168,0.0078
568,18,13.48,23.6902,0.0078
569,20,13.5,26.1267,0.0078
570,8,13.64,23.3825,0.0078
571,12,13.56,26.8955,0.0078
572,12,13.68,21.4934,0.0078
573,7,13.7,23.3506,0.0078
574,6,13.56,30.4692,0.0078
575,24,13.7,25.9097,0.0078
576,23,13.86,23.1307,0.0078
577,12,13.96,28.7138,0.0078
578,9,13.74,23.9915,0.0078
579,13,13.76,27.3941,0.0078
580,13,13.84,26.3066,0.0078
581,27,13.88,23.0787,0.0078
582,19,13.82,24.0289,0.0078
583,9,13.8,23.2656,0.0078
584,8,13.78,27.7967,0.0078
585,21,14.1,23.6455,0.0078
586,17,14.36,27.313,0.0078
587,2,14.14,27.0098,0.0078
588,10,14.16,24.9045,0.0078
589,15,14.26,27.1247,0.0078
590,13,14.3,26.4704,0.0078
591,7,13.88,22.0419,0.0078
592,20,13.9,24.8758,0.0078
593,13,13.98,23.7206,0.0078
594,7,13.92,28.659,0.0078
595,8,13.68,23.9639,0.0078
596,16,13.76,27.5916,0.0078
597,10,13.82,24.172,0.0078
598,14,13.54,26.0091,0.0078
599,13,13.58,25.5674,0.0078
600,19,13.62,28.2672,0.0078
601,10,13.5,26.7777,0.0078
602,12,13.48,25.997,0.0078
603,7,13.56,31.1356,0.0078
604,18,13.72,24.2563,0.0078
605,12,13.6,28.666,0.0078
606,21,13.84,26.83,0.0078
607,15,14.02,27.0298,0.0078
608,10,13.92,24.6133,0.0078
609,9,13.9,25.0349,0.0078
610,5,13.74,20.4582,0.0078
611,18,13.6,27.3137,0.0078
612,19,13.62,26.299,0.0078
613,18,13.42,25.7109,0.0078
614,21,13.64,27.2621,0.0078
615,6,13.5,27.9647,0.0078
616,6,13.32,30.7139,0.0078
617,4,13.12,25.5197,0.0078
618,11,12.98,31.1829,0.0078
619,10,12.78,25.2451,0.0078
620,17,12.96,23.5018,0.0078
621,17,13.06,25.2358,0.0078
622,5,12.92,28.0684,0.0078
623,0,12.78,47.0911,0.0078
624,24,13.14,26.0931,0.0078
625,20,13.06,29.9655,0.0078
626,18,12.96,25.3158,0.0078
627,11,12.94,28.5908,0.0078
628,6,12.88,26.2918,0.0078
629,6,12.74,17.8754,0.0078
630,8,12.64,25.9427,0.0078
631,3,12.16,26.6787,0.0078
632,8,11.94,24.2558,0.0078
633,25,12.26,27.3824,0.0078
634,5,12.2,25.9712,0.0078
635,8,11.94,25.1979,0.0078
636,22,12.04,27.4221,0.0078
637,15,12.3,25.2157,0.0078
638,9,12.28,25.9595,0.0078
639,17,12.32,24.8985,0.0078
640,27,12.6,26.046,0.0078
641,25,12.96,28.6982,0.0078
642,20,12.96,28.6606,0.0078
643,15,13.0,23.8707,0.0078
644,21,13.28,29.8548,0.0078
645,13,13.38,26.3372,0.0078
646,18,13.42,26.6474,0.0078
647,9,13.4,20.9477,0.0078
648,15,13.42,26.045,0.0078
649,14,13.44,26.1426,0.0078
650,23,13.52,25.4904,0.0078
651,17,13.66,24.8134,0.0078
652,14,13.7,25.2043,0.0078
653,19,13.94,28.1101,0.0078
654,14,13.86,25.0608,0.0078
655,13,13.88,27.7357,0.0078
656,8,13.62,26.6415,0.0078
657,18,13.68,25.9095,0.0078
658,12,13.72,25.2293,0.0078
659,12,13.78,27.6388,0.0078
660,15,13.98,23.2939,0.0078
661,12,13.86,24.6159,0.0078
662,15,13.78,27.0407,0.0078
663,21,13.84,26.0604,0.0078
664,22,13.86,28.9576,0.0078
665,21,14.16,26.5365,0.0078
666,11,14.26,30.5048,0.0078
667,14,14.46,28.4657,0.0078
668,16,14.56,29.9402,0.0078
669,6,14.48,26.6282,0.0078
670,17,14.48,26.4502,0.0078
671,1,14.16,26.2833,0.0078
672,15,14.36,24.8412,0.0078
673,4,14.44,28.2425,0.0078
674,20,14.36,26.1983,0.0078
675,8,14.12,24.349,0.0078
676,8,13.92,28.1696,0.0078
677,8,13.86,25.0945,0.0078
678,16,14.06,24.2301,0.0078
679,7,14.08,25.9757,0.0078
680,22,14.36,26.2037,0.0078
681,25,14.8,26.5799,0.0078
682,21,15.06,29.0689,0.0078
683,15,14.86,24.2522,0.0078
684,14,15.04,21.6769,0.0078
685,17,15.22,23.4042,0.0078
686,16,15.1,22.8906,0.0078
687,9,14.98,25.2137,0.0078
688,26,15.32,25.4046,0.0078
689,13,15.24,20.4217,0.0078
690,14,14.98,30.5942,0.0078
691,22,14.92,25.2295,0.0078
692,10,14.72,23.4562,0.0078
693,17,14.76,22.9756,0.0078
694,20,14.74,22.7364,0.0078
695,10,14.68,25.4313,0.0078
696,7,14.46,20.908,0.0078
697,19,14.66,23.6993,0.0078
698,14,14.64,25.7485,0.0078
699,22,14.8,21.8595,0.0078
700,19,14.72,20.6312,0.0078
701,7,14.52,21.2158,0.0078
702,12,14.48,26.5411,0.0078
703,19,14.48,25.7979,0.0078
704,20,14.6,25.1312,0.0078
705,9,14.52,25.2796,0.0078
706,7,14.5,22.0123,0.0078
707,22,14.58,28.8218,0.0078
708,10,14.54,28.7196,0.0078
709,18,14.66,20.9748,0.0078
710,27,14.9,24.7168,0.0078
711,34,15.34,24.2677,0.0078
712,21,15.46,28.6115,0.0078
713,22,15.48,25.7209,0.0078
714,20,15.44,25.5718,0.0078
715,11,15.24,21.7872,0.0078
716,20,15.42,25.2511,0.0078
717,19,15.52,27.8994,0.0078
718,8,15.36,24.4132,0.0078
719,17,15.58,22.2257,0.0078
720,15,15.54,23.3092,0.0078
721,12,15.76,22.5202,0.0078
722,10,15.66,21.174,0.0078
723,21,16.0,23.4785,0.0078
724,14,15.88,22.216,0.0078
725,13,15.98,23.1186,0.0078
726,12,16.06,24.7476,0.0078
727,7,16.04,25.7049,0.0078
728,16,16.04,25.2294,0.0078
729,12,16.14,24.6162,0.0078
730,14,15.98,25.0421,0.0078
731,13,15.74,25.8511,0.0078
732,17,15.66,25.8454,0.0078
733,17,15.7,22.8063,0.0078
734,16,15.74,22.5213,0.0078
735,15,15.7,20.3399,0.0078
736,19,15.76,23.5122,0.0078
737,18,15.94,25.3359,0.0078
738,14,15.7,26.1526,0.0078
739,10,15.64,25.3553,0.0078
740,9,15.54,22.0181,0.0078
741,13,15.36,25.2969,0.0078
742,19,15.54,26.877,0.0078
743,19,15.58,23.5585,0.0078
744,23,15.64,27.1462,0.0078
745,13,15.7,31.0095,0.0078
